qid,category_en,category_ja,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q5323813,hormone,ホルモン,Q178593,Cysteine proteinase EP-B 2,,enzyme in Hordeum vulgare,,,,,,
Q2316973,hormone,ホルモン,Q178593,acetylserotonin O-methyltransferase,アセチルセロトニン-O-メチルトランスフェラーゼ,,,D000121,,,,C0001064
Q381068,hormone,ホルモン,Q178593,aequorin,イクオリン,enzyme,,D000331,,,,C0001694
Q128861,hormone,ホルモン,Q178593,angiotensin I converting enzyme,アンジオテンシン変換酵素,mammalian protein found in Homo sapiens,酵素の一つ,D007703,,,,C0022709
Q258915,hormone,ホルモン,Q178593,renin,レニン,aspartic protease protein and enzyme,,D012083,,,,
Q411529,hormone,ホルモン,Q178593,Interleukin 1 beta,インターロイキン-1β,mammalian protein found in Homo sapiens,,C508585,,,,
Q412728,hormone,ホルモン,Q178593,Lactoperoxidase,ラクトペルオキシダーゼ,mammalian protein found in Homo sapiens,,,,,,
Q130345444,hormone,ホルモン,Q178593,salmine,,protamine found in salmon,,D012473,,,,
Q126126518,hormone,ホルモン,Q178593,3α-Hydroxysteroid dehydrogenase,,,,,,,,
Q413243,hormone,ホルモン,Q178593,Cystatin C,シスタチンC,mammalian protein found in Homo sapiens,,D055316,,,,C0071744
Q108841452,hormone,ホルモン,Q178593,Cyclic GMP-AMP synthase,,cytosolic DNA sensor,,,,,,
Q95349913,hormone,ホルモン,Q178593,antithrombotic enzyme,,Enzymes,,,,,,
Q27094478,hormone,ホルモン,Q178593,alanine aminotransferase,,substance,,,,,,
Q115808988,hormone,ホルモン,Q178593,Iron superoxide dismutase,,enzyme that catalyses reduction of superoxides,,,,,,
Q306076,hormone,ホルモン,Q178593,alpha fetoprotein,Α-フェトプロテイン,mammalian protein found in Homo sapiens,,D000509,,,,C0002210
Q76707481,hormone,ホルモン,Q178593,clupeine,,protamine,,D003026,,,,C0009083
Q27094459,hormone,ホルモン,Q178593,mesentericopeptidase,,substance,,,,,,
Q134437644,hormone,ホルモン,Q178593,Phloroglucinol synthase,,,,,,,,
Q134455130,hormone,ホルモン,Q178593,Phenylacetate decarboxylase,,,,,,,,
Q134531676,hormone,ホルモン,Q178593,"Phosphoribosyl 1,2-cyclic phosphate 1,2-diphosphodiesterase",,,,,,,,
Q413766,hormone,ホルモン,Q178593,Fibronectin 1,フィブロネクチン,mammalian protein found in Homo sapiens,,,,,,
Q106830320,hormone,ホルモン,Q178593,Carbonyl sulfide hydrolase,,Hydrolase enzyme,,,,,,
Q106937117,hormone,ホルモン,Q178593,carnitine palmitoyltransferase 1,,enzyme involved in the carnitine shuttle,,,,,,
Q27077078,hormone,ホルモン,Q178593,"Aminotransferase, aspartate",,substance,,,,,,
Q100975544,hormone,ホルモン,Q178593,Methylenetetrahydrofolate Dehydrogenase (NADP),,NADP-dependent oxidoreductase,,D008754,,,,C0025756
Q126265029,hormone,ホルモン,Q178593,Cytochrome P450,,list of Cytochrome P450 enzymes,,,,,,
Q413209,hormone,ホルモン,Q178593,Transient receptor potential cation channel subfamily V member 1,TRPV1,mammalian protein found in Homo sapiens,,,,,,
Q420522,hormone,ホルモン,Q178593,Nanog homeobox,,transcriptional factor that helps embryonic stem cells maintain pluripotency by suppressing cell determination factors,,D000071317,,,,C4277621
Q99976356,hormone,ホルモン,Q178593,vitamin D3 dihydroxylase,,enzyme,,,,,,
Q25384427,hormone,ホルモン,Q178593,MHETase,MHETase,enzyme,酵素,,,,,
Q101175227,hormone,ホルモン,Q178593,(S)-corytuberine synthase,,enzyme,,,,,,
Q113648636,hormone,ホルモン,Q178593,Klebsiella pneumoniae carbapenemase,,"enzyme that degrades penicillin, cephalosporin, and broad-spectrum β-lactams such as the carbapenems",,,,,,
Q110722837,hormone,ホルモン,Q178593,Coenzyme A transferases,,transferase enzymes,,,,,,
Q39050350,hormone,ホルモン,Q178593,Damage suppressor protein,,tardigrade protein,,,,,,
Q59617859,hormone,ホルモン,Q178593,acutolysin A,,toxin from snake venom,,,,,,
