qid,category_en,category_ja,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q1884806,enzyme,酵素,Q59199015,1-methoxy-2-propanol,1-メトキシ-2-プロパノール,group of stereoisomers,,,,,,
Q161496,enzyme,酵素,Q59199015,butylene glycol,"1,3-ブタンジオール",chemical compound,,D002072,,,,C0006475
Q139883,enzyme,酵素,Q59199015,(±)-L-alliin,アリイン,group of stereoisomers,,C006453,,,,
Q594836,enzyme,酵素,Q59199015,DL-magnesium lactate,乳酸マグネシウム,group of stereoisomers,,,,,,
Q161602,enzyme,酵素,Q59199015,1-chloro-2-propanol,,chemical compound,,,,,,
Q416827,enzyme,酵素,Q59199015,"(14β)-18-(2-Hydroxy-2-pentanyl)-6-methoxy-17-methyl-7,8-didehydro-18,19-dihydro-4,5-epoxy-6,14-ethenomorphinan-3-ol",エトルフィン,group of stereoisomers,,,,,,
Q161457,enzyme,酵素,Q59199015,"1,2-butanediol","1,2-ブタンジオール",group of stereoisomers,,,,,,
Q593166,enzyme,酵素,Q59199015,(±)-molindone,モリンドン,group of stereoisomers,,D008972,,,,C0026388
Q369648,enzyme,酵素,Q59199015,tolperisone,トルペリゾン,chemical compound,,D014049,,,,C0040382
Q1956285,enzyme,酵素,Q59199015,(7R/S)-alpha-cedrene,セドレン,chemical compound,,,,,,
Q366482,enzyme,酵素,Q59199015,(RS)-adrafinil,アドラフィニル,group of stereoisomers,,C022116,,,,C0056494
Q1956980,enzyme,酵素,Q59199015,myxoxanthophyll,ミクソキサントフィル,chemical compound,,,,,,
Q418560,enzyme,酵素,Q59199015,ifosfamide,イホスファミド,chemical compound,抗悪性腫瘍剤,D007069,,,,C0020823
Q161647,enzyme,酵素,Q59199015,1-methylguanosine,,group of stereoisomers,,,,,,
Q138339,enzyme,酵素,Q59199015,reposal,レポサール,chemical compound,,,,,,
Q161481,enzyme,酵素,Q59199015,"1,2-diiodopropane",,group of stereoisomers,,,,,,
Q168453,enzyme,酵素,Q59199015,tetrahydrofolic acid,テトラヒドロ葉酸,group of stereoisomers,,,,,,
Q424333,enzyme,酵素,Q59199015,salmeterol,サルメテロール,group of stereoisomers,立体異性群,,,,,C0073992
Q1956032,enzyme,酵素,Q59199015,chlorophyll c2,,chemical compound,,,,,,
Q533119,enzyme,酵素,Q59199015,tribenoside,トリベノシド,chemical compound,,C100302,,,,
Q418492,enzyme,酵素,Q59199015,diethylhexyl phthalate,フタル酸ビス(2-エチルヘキシル),group of stereoisomers,,D004051,,,,C0012197
Q502728,enzyme,酵素,Q59199015,"(5bR,6S,12bS,5b'R,6'S,12b'S,5b''R,6''S,12b''S)-13,13',13''-[phosphorothioyltris(imino-2,1-ethanediyl)]tris(6-hydroxy-13-methyl-5b,6,7,12b,13,14-hexahydro[1,3]benzodioxolo[5,6-c][1,3]dioxolo[4,5-i]phenanthridin-13-ium) trihydroxide",,group of stereoisomers,,,,,,
Q416701,enzyme,酵素,Q59199015,(RS)-mianserin,ミアンセリン,group of stereoisomers,,D008803,,,,C0025912
Q407883,enzyme,酵素,Q59199015,ketoconazole,ケトコナゾール,chemical compound,,D007654,,,,
Q418235,enzyme,酵素,Q59199015,sodium lactate,乳酸ナトリウム,group of stereoisomers,乳酸のナトリウム塩,D019354,,,,C0142874
