qid,category_en,category_ja,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q24719524,cell type,細胞型,Q7644128,"Pancreatic hormone-like, conserved site",,InterPro Conserved Site,,,,,,
Q24720258,cell type,細胞型,Q7644128,"Allergen V5/Tpx-1-related, conserved site",,InterPro Conserved Site,,,,,,
Q24720175,cell type,細胞型,Q7644128,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain conserved site 1",,InterPro Conserved Site,,,,,,
Q24720331,cell type,細胞型,Q7644128,"3-hydroxyisobutyrate dehydrogenase-related, conserved site",,InterPro Conserved Site,,,,,,
Q24719859,cell type,細胞型,Q7644128,"Isocitrate/isopropylmalate dehydrogenase, conserved site",,InterPro Conserved Site,,,,,,
Q24720319,cell type,細胞型,Q7644128,Chitin-binding type R&R consensus,,InterPro Conserved Site,,,,,,
Q24720482,cell type,細胞型,Q7644128,"Acid phosphatase, class A, bacterial, conserved site",,InterPro Conserved Site,,,,,,
Q24719855,cell type,細胞型,Q7644128,"Prephenate dehydratase, conserved site",,InterPro Conserved Site,,,,,,
Q24719763,cell type,細胞型,Q7644128,Transcription factor Nrm1/Whi5,,InterPro Conserved Site,,,,,,
Q24720513,cell type,細胞型,Q7644128,"Alcohol dehydrogenase, iron-type, conserved site",,InterPro Conserved Site,,,,,,
Q24720503,cell type,細胞型,Q7644128,"Carbohydrate-binding type-2, conserved site",,InterPro Conserved Site,,,,,,
Q24719874,cell type,細胞型,Q7644128,"Ribosomal protein L29, conserved site",,InterPro Conserved Site,,,,,,
Q24719849,cell type,細胞型,Q7644128,"Thaumatin, conserved site",,InterPro Conserved Site,,,,,,
Q24719872,cell type,細胞型,Q7644128,"SsrA-binding protein, conserved site",,InterPro Conserved Site,,,,,,
Q24720415,cell type,細胞型,Q7644128,FHIPEP conserved site,,InterPro Conserved Site,,,,,,
Q24720705,cell type,細胞型,Q7644128,"14-3-3 protein, conserved site",,InterPro Conserved Site,,,,,,
Q24720453,cell type,細胞型,Q7644128,"Glycoside hydrolase family 27/36, conserved site",,InterPro Conserved Site,,,,,,
Q24720719,cell type,細胞型,Q7644128,"ATPase, OSCP/delta subunit, conserved site",,InterPro Conserved Site,,,,,,
Q24720153,cell type,細胞型,Q7644128,"Ribosomal protein S2, conserved site",,InterPro Conserved Site,,,,,,
Q24720332,cell type,細胞型,Q7644128,"NADH:ubiquinone oxidoreductase, subunit 1, conserved site",,InterPro Conserved Site,,,,,,
Q24720882,cell type,細胞型,Q7644128,"Avidin-like, conserved site",,InterPro Conserved Site,,,,,,
Q24720927,cell type,細胞型,Q7644128,"3-hydroxyacyl-CoA dehydrogenase, conserved site",,InterPro Conserved Site,,,,,,
Q24720752,cell type,細胞型,Q7644128,"Endonuclease III-like, conserved site-2",,InterPro Conserved Site,,,,,,
Q24720295,cell type,細胞型,Q7644128,"Ribonuclease P, conserved site",,InterPro Conserved Site,,,,,,
Q24721023,cell type,細胞型,Q7644128,"Acyl-CoA dehydrogenase, conserved site",,InterPro Conserved Site,,,,,,
Q24720824,cell type,細胞型,Q7644128,Flocculin,,InterPro Repeat,,,,,,
Q24720436,cell type,細胞型,Q7644128,"Pseudouridine synthase TruD, conserved site",,InterPro Conserved Site,,,,,,
Q24721004,cell type,細胞型,Q7644128,"Claudin, conserved site",,InterPro Conserved Site,,,,,,
Q24721210,cell type,細胞型,Q7644128,"Antenna complex, alpha subunit conserved site",,InterPro Conserved Site,,,,,,
Q24720712,cell type,細胞型,Q7644128,"Leucine-rich repeat, cysteine-containing subtype",,InterPro Repeat,,,,,,
Q24720613,cell type,細胞型,Q7644128,"Ribosomal protein L10, eubacterial, conserved site",,InterPro Conserved Site,,,,,,
Q24721283,cell type,細胞型,Q7644128,Borrelia repeat protein,,InterPro Repeat,,,,,,
Q24720779,cell type,細胞型,Q7644128,"PdxT/SNO family, conserved site",,InterPro Conserved Site,,,,,,
Q24720740,cell type,細胞型,Q7644128,"Purine phosphorylase, family 2, conserved site",,InterPro Conserved Site,,,,,,
Q24721247,cell type,細胞型,Q7644128,"Dynein light chain, type 1/2, conserved site",,InterPro Conserved Site,,,,,,
Q24721469,cell type,細胞型,Q7644128,"Alpha-D-phosphohexomutase, conserved site",,InterPro Conserved Site,,,,,,
Q24721375,cell type,細胞型,Q7644128,"Cyclic-AMP phosphodiesterase class-II, conserved site",,InterPro Conserved Site,,,,,,
Q24720715,cell type,細胞型,Q7644128,"Xylulose 5-phosphate/Fructose 6-phosphate phosphoketolase, conserved site",,InterPro Conserved Site,,,,,,
Q24721406,cell type,細胞型,Q7644128,"Galactose-1-phosphate uridyl transferase, class II, conserved site",,InterPro Conserved Site,,,,,,
Q24721570,cell type,細胞型,Q7644128,Cadherin conserved site,,InterPro Conserved Site,,,,,,
Q24720892,cell type,細胞型,Q7644128,"Transcription factor, T-box, conserved site",,InterPro Conserved Site,,,,,,
Q24721700,cell type,細胞型,Q7644128,"5'-Nucleotidase, conserved site",,InterPro Conserved Site,,,,,,
Q24721656,cell type,細胞型,Q7644128,"carboxylesterase type B, conserved site",,InterPro Conserved Site,,,,,,
Q24721678,cell type,細胞型,Q7644128,"CAMSAP, spectrin and Ca2+/calmodulin-binding region",,InterPro Conserved Site,,,,,,
Q24721535,cell type,細胞型,Q7644128,GETHR pentapeptide repeat,,InterPro Repeat,,,,,,
Q24721006,cell type,細胞型,Q7644128,"Thymidine kinase, conserved site",,InterPro Conserved Site,,,,,,
Q24721571,cell type,細胞型,Q7644128,"Hydrophobin, conserved site",,InterPro Conserved Site,,,,,,
Q24721267,cell type,細胞型,Q7644128,Nuclear receptor repeat,,InterPro Repeat,,,,,,
Q24721095,cell type,細胞型,Q7644128,"TonB-dependent outer membrane protein SusC/RagA, conserved site",,InterPro Conserved Site,,,,,,
Q24721640,cell type,細胞型,Q7644128,Integrin alpha beta-propellor,,InterPro Repeat,,,,,,
