qid,category_en,category_ja,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q24719581,protein family,タンパク質ファミリー,Q417841,Protein of unknown function DUF2618,,InterPro Family,,,,,,
Q24719553,protein family,タンパク質ファミリー,Q417841,Ribosomal protein L31e,,InterPro Family,,,,,,
Q24719596,protein family,タンパク質ファミリー,Q417841,Protein of unknown function DUF2559,,InterPro Family,,,,,,
Q24719696,protein family,タンパク質ファミリー,Q417841,"menaquinone:cytochrome c reductase, cytochrome b/c subunit",,InterPro Family,,,,,,
Q24719597,protein family,タンパク質ファミリー,Q417841,Protein of unknown function DUF5103,,InterPro Family,,,,,,
Q24719574,protein family,タンパク質ファミリー,Q417841,"Saccharopine dehydrogenase [NAD(+), L-lysine-forming]",,InterPro Family,,,,,,
Q24719685,protein family,タンパク質ファミリー,Q417841,"Peptidase C71, pseudomurein endo-isopeptidase Pei",,InterPro Family,,,,,,
Q24719537,protein family,タンパク質ファミリー,Q417841,Thaumarchaeosortase,,InterPro Family,,,,,,
Q24719687,protein family,タンパク質ファミリー,Q417841,Peroxisomal fatty acid beta-oxidation multifunctional protein AIM1,,InterPro Family,,,,,,
Q24719601,protein family,タンパク質ファミリー,Q417841,"Sodium:neurotransmitter symporter, GABA, GAT-3",,InterPro Family,,,,,,
Q24719677,protein family,タンパク質ファミリー,Q417841,Protein of unknown function DUF4661,,InterPro Family,,,,,,
Q24719692,protein family,タンパク質ファミリー,Q417841,"Protein of unknown function DUF1673, Methanosarcina species",,InterPro Family,,,,,,
Q24719587,protein family,タンパク質ファミリー,Q417841,Transcription initiation Spt4,,InterPro Family,,,,,,
Q24719678,protein family,タンパク質ファミリー,Q417841,Putative phage holin,,InterPro Family,,,,,,
Q24719584,protein family,タンパク質ファミリー,Q417841,"Tyrosine protein kinase, EGF/ERB/XmrK receptor",,InterPro Family,,,,,,
Q24719592,protein family,タンパク質ファミリー,Q417841,Uncharacterised protein family VirK,,InterPro Family,,,,,,
Q24719684,protein family,タンパク質ファミリー,Q417841,"Uncharacterised conserved protein UCP007407, Abi protease-like",,InterPro Family,,,,,,
Q279074,protein family,タンパク質ファミリー,Q417841,gliadin,グリアジン,class of proteins,,D005903,,,,
Q143333,protein family,タンパク質ファミリー,Q417841,steroid 5-alpha reductase,3-オキソ-5α-ステロイド-4-デヒドロゲナーゼ,enzyme family,,D013741,,,,C0039602
Q24719549,protein family,タンパク質ファミリー,Q417841,Apolipoprotein C-IV,,InterPro Family,,,,,,
Q408477,protein family,タンパク質ファミリー,Q417841,"voltage-gated chloride channel, subgroup",塩化物イオンチャネル,InterPro family,,,,,,
Q24719569,protein family,タンパク質ファミリー,Q417841,"G-protein alpha subunit, group I",Giタンパク質,InterPro Family,,D019206,,,,
Q408713,protein family,タンパク質ファミリー,Q417841,calbindin,,InterPro Family,,D064026,,,,C0054444
Q24719452,protein family,タンパク質ファミリー,Q417841,Nucleoside 2-deoxyribosyltransferase,,InterPro Family,,,,,,
Q24719534,protein family,タンパク質ファミリー,Q417841,THAP domain-containing protein 2,,InterPro Family,,,,,,
Q24719579,protein family,タンパク質ファミリー,Q417841,T-cell leukemia translocation-altered gene protein,,InterPro Family,,,,,,
Q288084,protein family,タンパク質ファミリー,Q417841,alpha-2 adrenergic receptor,Α2アドレナリン受容体,protein family,,D018341,,,,
Q24719676,protein family,タンパク質ファミリー,Q417841,Rab effector Noc2,,InterPro Family,,,,,,
Q24719551,protein family,タンパク質ファミリー,Q417841,Fibroblast growth factor 9,,InterPro Family,,,,,,
Q24719577,protein family,タンパク質ファミリー,Q417841,Ganglioside GM2 activator,,InterPro Family,,,,,,
Q24719576,protein family,タンパク質ファミリー,Q417841,Coiled-coil domain-containing protein 7,,InterPro Family,,,,,,
Q407693,protein family,タンパク質ファミリー,Q417841,cytochrome P450,シトクロムP450,superfamily of enzymes containing heme as a cofactor that function as monooxygenases,,D003577,,,,
Q305671,protein family,タンパク質ファミリー,Q417841,"GPCR family 3, GABA-B receptor",GABAB受容体,InterPro Family,,D018080,,,,C0052887
Q24719544,protein family,タンパク質ファミリー,Q417841,adenovirus E3 proteins,,InterPro Family,,D017503,,,,
Q185269,protein family,タンパク質ファミリー,Q417841,actin,アクチン,motor protein involved in muscle contraction,,D000199,,,,
Q59410,protein family,タンパク質ファミリー,Q417841,delta endotoxin,BT剤,class of toxins in Bacillus species that lyse midgut epithelial cells in the target insect by forming lytic pores on the apical membrane,,,,,,
Q356147,protein family,タンパク質ファミリー,Q417841,adenosine receptor,アデノシン受容体,class of four receptor proteins to the molecule adenosine,,D018047,,,,C0001471
Q24719588,protein family,タンパク質ファミリー,Q417841,follicle stimulating hormone receptor,,InterPro Family,,D011962,,,,C0034806
Q24575295,protein family,タンパク質ファミリー,Q417841,5-hydroxytryptamine 2A receptor,,InterPro Family,,D044402,,,,C0289174
Q24719745,protein family,タンパク質ファミリー,Q417841,TraA,,InterPro Family,,,,,,
Q7316795,protein family,タンパク質ファミリー,Q417841,retinoic acid-inducible orphan G protein-coupled receptor,レチノイン酸感受性オーファンGタンパク質共役型受容体,group of G protein-coupled receptors,,,,,,
Q24719778,protein family,タンパク質ファミリー,Q417841,DNA packaging protein FI,,InterPro Family,,,,,,
Q3811988,protein family,タンパク質ファミリー,Q417841,keratinocyte growth factor,表皮細胞増殖因子,InterPro family,,D051523,,,,
Q409145,protein family,タンパク質ファミリー,Q417841,calmodulin family,カルモジュリン,group of calcium sensors and calcium signal modulators,,D002147,,,,C0086081
Q24719772,protein family,タンパク質ファミリー,Q417841,retinal-specific ATP-binding cassette transporter,,InterPro Family,,D000073882,,,,C4505141
Q7801633,protein family,タンパク質ファミリー,Q417841,tight junction protein,,InterPro Family,ウィキメディアの曖昧さ回避ページ,D062825,,,,C3494369
Q409715,protein family,タンパク質ファミリー,Q417841,integrins,インテグリン,family of transmembrane glycoproteins consisting of noncovalent heterodimers,,D016023,,,,C0021701
Q7275015,protein family,タンパク質ファミリー,Q417841,RAB27,,protein family,,D000075745,,,,C4318630
Q3748954,protein family,タンパク質ファミリー,Q417841,phosphatidylcholine-retinol O-acyltransferase,,class of enzymes,,,,,,
Q7646056,protein family,タンパク質ファミリー,Q417841,surfactant protein A,肺サーファクタントタンパク質-A,protein family,,,,,,
Q410959,protein family,タンパク質ファミリー,Q417841,muscarinic acetylcholine receptor family,ムスカリン性アセチルコリン受容体,InterPro Family,,D011976,,,,C0034826
Q7181412,protein family,タンパク質ファミリー,Q417841,phenylacetate-CoA ligase,フェニル酢酸CoAリガーゼ,class of enzymes,,,,,,
Q418454,protein family,タンパク質ファミリー,Q417841,tropomyosin,トロポミオシン,protein family,,D014335,,,,
Q7783549,protein family,タンパク質ファミリー,Q417841,theta defensin,,protein family,,,,,,
Q3817242,protein family,タンパク質ファミリー,Q417841,secalin,セカリン,protein family found in rye,,,,,,
Q3774486,protein family,タンパク質ファミリー,Q417841,cytochrome b,シトクロム b,group of mitochondrial proteins involved in the respiratory chain,,D045303,,,,
Q7671459,protein family,タンパク質ファミリー,Q417841,"transient receptor potential channel, canonical",TRPC,Family of transient receptor potential cation channels in animals,,D050052,,,,C1563723
Q410724,protein family,タンパク質ファミリー,Q417841,pantothenate kinase,パントテン酸キナーゼ,class of enzymes,,,,,,
Q7275805,protein family,タンパク質ファミリー,Q417841,nuclear receptor ROR,RAR関連オーファン受容体,members of the nuclear receptor family of intracellular transcription factors,,,,,,
Q7553287,protein family,タンパク質ファミリー,Q417841,sodium-solute symporter,,group of transport proteins,,,,,,
Q7705851,protein family,タンパク質ファミリー,Q417841,testican,,,,,,,,
Q7117879,protein family,タンパク質ファミリー,Q417841,P2 receptors,P2受容体,class of cell surface receptors for purines that prefer ATP or ADP over adenosine,,D018048,,,,
Q7600127,protein family,タンパク質ファミリー,Q417841,stannin,,protein family,,,,,,
Q7392807,protein family,タンパク質ファミリー,Q417841,SREB,,protein family,,,,,,
Q24719773,protein family,タンパク質ファミリー,Q417841,Conserved hypothetical protein CHP00725,,InterPro Family,,,,,,
Q24719774,protein family,タンパク質ファミリー,Q417841,Fimbrial-like protein YadC,,InterPro Family,,,,,,
Q24719750,protein family,タンパク質ファミリー,Q417841,"Glycoside hydrolase, family 32",,InterPro Family,,,,,,
Q24719758,protein family,タンパク質ファミリー,Q417841,Herpesvirus UL47,,InterPro Family,,,,,,
Q24719775,protein family,タンパク質ファミリー,Q417841,Guanine-specific ribonuclease N1/T1/U2,,InterPro Family,,,,,,
Q24719734,protein family,タンパク質ファミリー,Q417841,Non-structural maintenance of chromosomes element 1,,InterPro Family,,,,,,
Q24719738,protein family,タンパク質ファミリー,Q417841,Phosphatase PHOSPHO-type,,InterPro Family,,,,,,
Q24719735,protein family,タンパク質ファミリー,Q417841,Probable tRNA methyltransferase 9-like protein,,InterPro Family,,,,,,
Q24719739,protein family,タンパク質ファミリー,Q417841,Predicted HD phosphohydrolase,,InterPro Family,,,,,,
Q24719736,protein family,タンパク質ファミリー,Q417841,Protamine P1,,InterPro Family,,,,,,
Q24719741,protein family,タンパク質ファミリー,Q417841,Protein of unknown function DUF620,,InterPro Family,,,,,,
Q24719752,protein family,タンパク質ファミリー,Q417841,Protein of unknown function DUF4298,,InterPro Family,,,,,,
Q24719756,protein family,タンパク質ファミリー,Q417841,Pyridoxal 5'-phosphate synthase subunit PdxT/SNO,,InterPro Family,,,,,,
Q24719751,protein family,タンパク質ファミリー,Q417841,Rotavirus non-structural protein 2,,InterPro Family,,,,,,
Q24719765,protein family,タンパク質ファミリー,Q417841,S-type anion channel,,InterPro Family,,,,,,
Q24719762,protein family,タンパク質ファミリー,Q417841,"Small acid-soluble spore protein, SspJ",,InterPro Family,,,,,,
Q24719760,protein family,タンパク質ファミリー,Q417841,"Sporulation stage V, protein R",,InterPro Family,,,,,,
Q24719748,protein family,タンパク質ファミリー,Q417841,Vacuolar protein sorting-associated protein 35,,InterPro Family,,,,,,
Q24719768,protein family,タンパク質ファミリー,Q417841,Uncharacterised protein family UPF0251,,InterPro Family,,,,,,
Q3822702,protein family,タンパク質ファミリー,Q417841,proteorhodopsin,プロテオロドプシン,family of transmembrane proteins,,,,,,
Q3822824,protein family,タンパク質ファミリー,Q417841,hordein,ホルデイン,protein family found in barley,,,,,,
Q7249510,protein family,タンパク質ファミリー,Q417841,bacterial initiation factor-2,細菌性翻訳開始因子2,InterPro Family,,D039881,,,,C0083982
Q416781,protein family,タンパク質ファミリー,Q417841,ryanodine receptor,リアノジン受容体,class of transport proteins,,D019837,,,,
Q7669118,protein family,タンパク質ファミリー,Q417841,T7 DNA polymerase,,enzyme from phage T7,,,,,,
Q7117884,protein family,タンパク質ファミリー,Q417841,p300-CBP coactivator family,P300-CBPコアクチベーターファミリー,protein family,,,,,,
Q7252052,protein family,タンパク質ファミリー,Q417841,proton-sensing G protein-coupled receptors,,,,,,,,
Q7442852,protein family,タンパク質ファミリー,Q417841,SecY protein,,InterPro Family,,,,,,
Q7679528,protein family,タンパク質ファミリー,Q417841,talin,タリン,protein family,細胞-基質間接触部位、そしてリンパ球では細胞間接触部位に濃縮して存在する高分子量細胞骨格タンパク質,D016608,,,,
Q7617510,protein family,タンパク質ファミリー,Q417841,"1,4-dihydroxy-2-naphthoate polyprenyltransferase","1,4-ジヒドロキシ-2-ナフトエ酸ポリプレニルトランスフェラーゼ",class of enzymes,,,,,,
Q7671491,protein family,タンパク質ファミリー,Q417841,TRPV cation channel,TRPV,subgroup of TRP cation channels named after the vanilloid receptor,,D050916,,,,C0108303
Q7320794,protein family,タンパク質ファミリー,Q417841,RhoBTB,,protein subgroup of the Rho family of small GTPases,,,,,,
Q3650938,protein family,タンパク質ファミリー,Q417841,calmodulin-lysine N-methyltransferase,カルモジュリン-リシン-N-メチルトランスフェラーゼ,class of enzymes,,,,,,
Q3454539,protein family,タンパク質ファミリー,Q417841,liver X receptor,肝臓X受容体,InterPro Family,,D000071518,,,,
Q7249509,protein family,タンパク質ファミリー,Q417841,prokaryotic initiation factor-3,,prokaryotic initiation factor that plays a role in recycling of ribosomal subunits for a new round of translational initiation,,D039665,,,,C0070348
Q409383,protein family,タンパク質ファミリー,Q417841,GMP reductase,GMPレダクターゼ,class of enzymes,,D050899,,,,C0061778
Q7390325,protein family,タンパク質ファミリー,Q417841,SIGLEC,SIGLEC,protein family,,D063265,,,,C3494454
Q7249507,protein family,タンパク質ファミリー,Q417841,translation initiation factor IF-1,,InterPro Family,,D039861,,,,C1136315
Q7200830,protein family,タンパク質ファミリー,Q417841,plakophilin,,protein family,,,,,,
Q7103879,protein family,タンパク質ファミリー,Q417841,orotidine 5'-phosphate decarboxylase,,class of enzymes,,D009964,,,,C0029303
Q24719754,protein family,タンパク質ファミリー,Q417841,O-phosphoseryl-tRNA(Sec) selenium transferase,,InterPro Family,,,,,,
Q7249614,protein family,タンパク質ファミリー,Q417841,Proline-Rich Coiled Coil 1,,protein,,,,,,
Q24719732,protein family,タンパク質ファミリー,Q417841,syndecan,シンデカン,protein family,ウィキメディアの曖昧さ回避ページ,D053667,,,,C0075691
Q7553395,protein family,タンパク質ファミリー,Q417841,sodium/hydrogen antiporter,ナトリウム水素交換輸送体,family of transport proteins,,D017923,,,,C0074785
Q7128404,protein family,タンパク質ファミリー,Q417841,palmitoyl(protein) hydrolase,パルミトイルタンパク質チオエステラーゼ,class of enzymes,,,,,,
Q7296592,protein family,タンパク質ファミリー,Q417841,raventoxin,,protein family,,,,,,
Q7307230,protein family,タンパク質ファミリー,Q417841,reflectin,,protein family,,,,,,
Q410568,protein family,タンパク質ファミリー,Q417841,adrenergic receptor,アドレナリン受容体,class of G protein-coupled receptors,,D011941,,,,
Q7447908,protein family,タンパク質ファミリー,Q417841,selenoprotein P,,eukaryotic selenoprotein that contains multiple selenocysteine residues,,D051149,,,,C0141947
Q7187465,protein family,タンパク質ファミリー,Q417841,phosphatidylinositol transfer protein,,InterPro Family,,,,,,
Q7388691,protein family,タンパク質ファミリー,Q417841,SAP1a,,protein family,,,,,,
Q24719755,protein family,タンパク質ファミリー,Q417841,LIM and senescent cell antigen-like-containing domain protein 1,,InterPro Family,,,,,,
Q24719759,protein family,タンパク質ファミリー,Q417841,DNA damage-binding protein 2,,InterPro Family,,,,,,
