qid,category_en,category_ja,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q29736501,gene,遺伝子,Q7187,adgre15,,protein-coding gene in the species Danio rerio,,,,,,
Q29736602,gene,遺伝子,Q7187,acot16,,protein-coding gene in the species Danio rerio,,,,,,
Q29736646,gene,遺伝子,Q7187,cfap57,,protein-coding gene in the species Danio rerio,,,,,,
Q29736547,gene,遺伝子,Q7187,clrn3,,protein-coding gene in the species Danio rerio,,,,,,
Q29736745,gene,遺伝子,Q7187,ccdc177,,protein-coding gene in the species Danio rerio,,,,,,
Q29736335,gene,遺伝子,Q7187,LOC101882721,,protein-coding gene in the species Danio rerio,,,,,,
Q29736336,gene,遺伝子,Q7187,LOC101883115,,protein-coding gene in the species Danio rerio,,,,,,
Q29736482,gene,遺伝子,Q7187,eif4g3b,,protein-coding gene in the species Danio rerio,,,,,,
Q29736354,gene,遺伝子,Q7187,LOC108183821,,protein-coding gene in the species Danio rerio,,,,,,
Q29736395,gene,遺伝子,Q7187,LOC100150296,,protein-coding gene in the species Danio rerio,,,,,,
Q29736406,gene,遺伝子,Q7187,LOC568866,,protein-coding gene in the species Danio rerio,,,,,,
Q29736431,gene,遺伝子,Q7187,LOC103909385,,protein-coding gene in the species Danio rerio,,,,,,
Q29736371,gene,遺伝子,Q7187,si:dkey-219e21.2,,protein-coding gene in the species Danio rerio,,,,,,
Q29736474,gene,遺伝子,Q7187,LOC108191521,,protein-coding gene in the species Danio rerio,,,,,,
Q29736480,gene,遺伝子,Q7187,LOC101886478,,protein-coding gene in the species Danio rerio,,,,,,
Q29736362,gene,遺伝子,Q7187,tmem255a,,protein-coding gene in the species Danio rerio,,,,,,
Q29736485,gene,遺伝子,Q7187,LOC794598,,protein-coding gene in the species Danio rerio,,,,,,
Q29736495,gene,遺伝子,Q7187,LOC108179126,,protein-coding gene in the species Danio rerio,,,,,,
Q29736412,gene,遺伝子,Q7187,si:ch211-113e8.9,,protein-coding gene in the species Danio rerio,,,,,,
Q29736516,gene,遺伝子,Q7187,LOC100006649,,protein-coding gene in the species Danio rerio,,,,,,
Q29736536,gene,遺伝子,Q7187,LOC103911752,,protein-coding gene in the species Danio rerio,,,,,,
Q29736538,gene,遺伝子,Q7187,LOC108191559,,protein-coding gene in the species Danio rerio,,,,,,
