qid,category_en,category_ja,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q1734637,infectious disease,感染症,Q18123741,Common scab,そうか病,Plant disease affecting potatoes and other crops,,,,,,
Q11775289,infectious disease,感染症,Q18123741,Peach scab,,fungal disease of stone fruits,,,,,,
Q5788570,infectious disease,感染症,Q18123741,infectious coryza,伝染性コリーザ,disease of poultry,,,,,,
Q1104126,infectious disease,感染症,Q18123741,classic autism,,"former developmental disorder, since DSM-V replaced by Autism Spectrum Condition, type 2-3, with, or without, intellectual development disorder",,,F84.0,,,
Q8502088,infectious disease,感染症,Q18123741,apricot leaf scorch,,plant disease,,,,,,
Q97317440,infectious disease,感染症,Q18123741,Thysaniezia infection,,,,,,,,
Q11176055,infectious disease,感染症,Q18123741,red band needle blight,,,,,,,,
Q2400155,infectious disease,感染症,Q18123741,tar spot,,plant disease,,,,,,
Q110488017,infectious disease,感染症,Q18123741,Deltacron,デルタクロン株,Cross of SARS-CoV-2 variant Delta and SARS-CoV-2 variant Omikron discovered in Cyprus.,,,,,,
Q11722813,infectious disease,感染症,Q18123741,Cenangium canker,,,,,,,,
Q11730777,infectious disease,感染症,Q18123741,Sphaeropsis blight,,,,,,,,
Q11775023,infectious disease,感染症,Q18123741,black spot of elm,,,,,,,,
Q11775070,infectious disease,感染症,Q18123741,Cyclaneusma minus needle cast,,,,,,,,
Q11775029,infectious disease,感染症,Q18123741,Leaf and shoot blight of aspen,,,,,,,,
Q11775031,infectious disease,感染症,Q18123741,Mycosphaerella needle blight,,,,,,,,
Q11775011,infectious disease,感染症,Q18123741,powdery mildew of grape,,,,,,,,
Q12048208,infectious disease,感染症,Q18123741,brown felt blight,,,,,,,,
Q12201175,infectious disease,感染症,Q18123741,Tracheomycosis,,,,,,,,
Q12427214,infectious disease,感染症,Q18123741,canker stain of plane,,,,,,,,
Q12535488,infectious disease,感染症,Q18123741,Biohelminthiasis,,,,,,,,
Q12856885,infectious disease,感染症,Q18123741,gray mold spot,,,,,,,,
Q12856836,infectious disease,感染症,Q18123741,Sirococcus Shoot Blight,,,,,,,,
Q337715,infectious disease,感染症,Q18123741,fish acanthocephalosis,,,,,,,,
Q2853014,infectious disease,感染症,Q18123741,Anthracnose Leaf Blight,,,,,,,,
Q3055119,infectious disease,感染症,Q18123741,Entomosporium leaf spot,,,,,,,,
Q84263196,infectious disease,感染症,Q18123741,COVID-19,新型コロナウイルス感染症 (2019年),contagious disease caused by SARS-CoV-2,SARSコロナウイルス2 (SARS-CoV-2) によって引き起こされる人獣共通感染症,D000086382,U07.1,,840539006,C5203670
Q110244250,infectious disease,感染症,Q18123741,SARS-CoV-2 Delmicron variant,,coinfection of SARS-CoV-2 Delta and Omicron variants,,,,,,
Q7861356,infectious disease,感染症,Q18123741,Typhula blight,,fungal disease of plants,,,,,,
Q3382633,infectious disease,感染症,Q18123741,black wood-vessel disease,,,,,,,,
Q111329346,infectious disease,感染症,Q18123741,Spinal cord abscess,,Infectious abscess of the central nervous system,,,,,16300007,C0391986
Q2385610,infectious disease,感染症,Q18123741,armillaria root rot,,cryptogamic disease,,,,,,
Q7580044,infectious disease,感染症,Q18123741,Spot blotch,,disease of barley caused by Cochliobolus sativus,,,,,,
Q11542703,infectious disease,感染症,Q18123741,metagonimiasis,横川吸虫症,parasitic helminthiasis infectious disease that involves parasitic infection of the intestine by Metagonimus yokogawai. The symptoms are diarrhea and colicky abdominal pain. The heart and brain can also be infected,,,,,,C0025530
Q221547,infectious disease,感染症,Q18123741,Coenurosis,,Helminthiasis,,,B71.8,,,
Q500536,infectious disease,感染症,Q18123741,Verticillium wilt,,plant wilt disease,,,,,,
Q2043695,infectious disease,感染症,Q18123741,PANDAS,,hypothesis that there exists a subset of children with rapid onset of obsessive-compulsive disorder or tic disorders and these symptoms are caused by group A beta-hemolytic streptococcal infections,,C537163,D89.89,,,C2931429
Q3429534,infectious disease,感染症,Q18123741,violet root rot,,plant disease,,,,,,
Q3498760,infectious disease,感染症,Q18123741,red heart rot,,plant disease,,,,,,
Q4312883,infectious disease,感染症,Q18123741,Nanophyetiasis,,,,,B66.8,,,C1404708
Q5153518,infectious disease,感染症,Q18123741,common bunt,,fungal disease of wheat,,,,,,
Q107028193,infectious disease,感染症,Q18123741,Wuhan pneumonia,武漢肺炎,"name of COVID-19 began with an outbreak in Wuhan city, China",COVID-19の呼称の一つ,,,,,
Q7429699,infectious disease,感染症,Q18123741,Scald,,fungal disease of barley,,,,,,
Q3400651,infectious disease,感染症,Q18123741,Fusarium dry rot,,common potato disease,,,,,,
Q3771039,infectious disease,感染症,Q18123741,Fusarium ear blight,赤かび病,fungal disease of cereals,,,,,,
Q1639227,infectious disease,感染症,Q18123741,scab,,plant disease due to fungal infestation,,,,,,
Q7243132,infectious disease,感染症,Q18123741,Primary gonococcal dermatitis,,medical condition,,,,,,C0151175
Q1109351,infectious disease,感染症,Q18123741,black dot,,disease of the potato plant,,,,,,
