qid,category_en,category_ja,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q123461526,organ,臓器,Q24060765,Bone,,bone in the collection of the Swedish History Museum with object number 3004296,,,,,,
Q123461527,organ,臓器,Q24060765,Bone,,bone in the collection of the Swedish History Museum with object number 3004748,,,,,,
Q123461528,organ,臓器,Q24060765,Bone,,bone in the collection of the Swedish History Museum with object number 3004749,,,,,,
Q123461529,organ,臓器,Q24060765,Bone,,bone in the collection of the Swedish History Museum with object number 3004750,,,,,,
Q111927206,organ,臓器,Q24060765,BOSCAMSUD_48.354.4,,"First phalanx of a South American camelid deposited at the Bernardino Rivadavia Argentine Museum of Natural Sciences, Mammalogy Division, Buenos Aires",,,,,,
Q111927204,organ,臓器,Q24060765,BOSCAMSUD_48.354.2,,"First phalanx of a South American camelid deposited at the Bernardino Rivadavia Argentine Museum of Natural Sciences, Mammalogy Division, Buenos Aires",,,,,,
Q111927207,organ,臓器,Q24060765,BOSCAMSUD_48.354.5,,,,,,,,
Q111927283,organ,臓器,Q24060765,BOSCAMSUD_MLP-G3,,,,,,,,
Q111927280,organ,臓器,Q24060765,BOSCAMSUD_MLP-G1,,,,,,,,
Q111927287,organ,臓器,Q24060765,BOSCAMSUD_MLP-G6,,,,,,,,
Q111927284,organ,臓器,Q24060765,BOSCAMSUD_MLP-G4,,,,,,,,
Q111927285,organ,臓器,Q24060765,BOSCAMSUD_MLP-G5,,,,,,,,
Q111927451,organ,臓器,Q24060765,BOSCAMSUD_33.61.2,,,,,,,,
Q111927449,organ,臓器,Q24060765,BOSCAMSUD_33.61.1,,,,,,,,
Q111927454,organ,臓器,Q24060765,BOSCAMSUD_33.62.1,,,,,,,,
Q111927453,organ,臓器,Q24060765,BOSCAMSUD_33.61.3,,,,,,,,
Q111927458,organ,臓器,Q24060765,BOSCAMSUD_33.62.4,,,,,,,,
Q111927456,organ,臓器,Q24060765,BOSCAMSUD_33.62.2,,,,,,,,
Q111927457,organ,臓器,Q24060765,BOSCAMSUD_33.62.3,,,,,,,,
Q111927563,organ,臓器,Q24060765,BOSCAMSUD_G149-4,,,,,,,,
Q111927567,organ,臓器,Q24060765,BOSCAMSUD_G149-6,,,,,,,,
Q111927565,organ,臓器,Q24060765,BOSCAMSUD_G149-5,,,,,,,,
Q111927570,organ,臓器,Q24060765,BOSCAMSUD_G1100-1,,,,,,,,
Q111927571,organ,臓器,Q24060765,BOSCAMSUD_FPDG-1,,,,,,,,
Q111927569,organ,臓器,Q24060765,BOSCAMSUD_G149-7,,,,,,,,
Q111927574,organ,臓器,Q24060765,BOSCAMSUD_FPDG-3,,,,,,,,
Q111927572,organ,臓器,Q24060765,BOSCAMSUD_FPDG-2,,,,,,,,
Q111927578,organ,臓器,Q24060765,BOSCAMSUD_L148-4,,,,,,,,
Q111927577,organ,臓器,Q24060765,BOSCAMSUD_L148-3,,,,,,,,
Q111927580,organ,臓器,Q24060765,BOSCAMSUD_L151-1,,,,,,,,
Q111927581,organ,臓器,Q24060765,BOSCAMSUD_L151-2,,,,,,,,
Q111927584,organ,臓器,Q24060765,BOSCAMSUD_ll1,,,,,,,,
Q111927585,organ,臓器,Q24060765,BOSCAMSUD_ll2,,,,,,,,
Q115311088,organ,臓器,Q24060765,"Skull of Java Man, Dubois",,,,,,,,
