qid,category,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q34530484,細菌,Q10876,Shewanella aestuarii,,species of bacterium,,,,,,
Q34530619,細菌,Q10876,Psychrobacter pocilloporae,,species of bacterium,,,,,,
Q102145852,細菌,Q10876,Paraburkholderia madseniana,,species of Gram-negative bacteria,,,,,,C5256658
Q121879597,細菌,Q10876,pyogenic cocci,,,,,,,,
